"Title ID","Title","Annotation","Publisher","Copyright","OriginalCopyright","Translator","Author","Illustrator","Grade Level Span","Language","Genre","Classification","Culture","Topic","Discipline","Standard","Award"
"40442","Railroad Fever","The building of the Transcontinental Railroad is told through engaging text, illustrative borders, and a variety of illustrations, including vintage black-and-white photos and maps. This visually appealing book provides succinct text that covers the planning and building of the railroad and focuses on the workers and the working conditions. Includes a glossary and an index.","National Geographic","2004",,,"Monica Halpern",,"3 thru 5","English","Nonfiction",,,"American History, Diversity","History/Social Science","HSS 5.8",
"15971","Rain Forest","The fragile balance of nature is presented as animals, living peacefully in the tropical rain forest, witness machines invading their world. Striking full-color paintings helps to introduce the issue of conservation of natural resources and the fragility of nature.","Farrar, Straus, & Giroux","1990","1988",,"Helen Cowcher","Helen  Cowcher","K thru 2, 3 thru 5","English","Fiction","Picture Book, Read Aloud",,"Life Science (Biology)","Science","LS 3.3",
"41420","Rain Reign","Eleven-year-old Rose Howard is a fifth grader obsessed with homonyms, rules, and routines. She lives with her hard-drinking single father and struggles with Asperger's syndrome but must break rules when a beloved dog becomes lost. 
 ","Feiwel and Friends","2014",,,"Ann M. Martin",,"3 thru 5","English","Fiction",,,"Alcohol, Tobacco, and Other Drugs, Diversity, Personal and Community Health","English-Language Arts/General , English-Language Arts/Literary Elements",,"Schneider Family Award"
"16663","Rain, Rain, Rain Forest","This book takes the reader on a journey through a rain forest, trailing a sloth, capuchin monkeys, and a poison-dart frog, to investigate the plants and animals that dwell there. The lyrical text incorporates a great deal of information. Onomatopoeia enhances the text by adding jungle sounds. Jenkins’s signature collage Illustrations enhance the text creatively.","Holt","2004",,,"Brenda Z. Guiberson","Steve  Jenkins","K thru 2, 3 thru 5","English","Narrative Nonfiction","Picture Book",,"Life Science (Biology)","English-Language Arts/Literary Elements, Science","LS 1.2, LS 3.3, LS 4.3",
"15274","Rainbow and You, The","This book provides a historical look at the importance of rainbows in ancient cultures, as well as giving the scientific perspective of why rainbows occur. The scientific explanations introduce the physical properties of light and color. Can be read aloud to assist student understanding of how sunlight shining through water forms the colors of the rainbow.","HarperCollins","2000",,,"Edwin C. Krupp","Robic Rector  Krupp","K thru 2, 3 thru 5","English","Narrative Nonfiction","Picture Book, Read Aloud",,"Earth Science, Physical Science (Chemistry and Physics)","History/Social Science, Science","ES 1.3, PS 3.2, ES 3.4",
"67","Rainbow Bridge, The","This Pourquoi tale tells how the Chumash people came to the mainland of California from their island, Limuw, and how the dolphins originated. Illustrated with lavish, dramatic paintings, this appealing read-aloud can be used to introduce children to the Native Americans of California. California author.","Harcourt","1999",,,"Audrey Wood","Robert Florczak","K thru 2, 3 thru 5","English","Folklore, Legend, Mythology","Picture Book, Read Aloud","Multicultural, Native American","American History, Religion/Spirituality","History/Social Science","HSS 3.2, HSS 4.2, HSS 5.1",
"38787","Rainbow Fish, The","Shunned by the other fish when he refuses to give away even one of his beautiful scales, Rainbow Fish eventually learns to share and finds happiness in friendship. Watercolor paintings of fish are highlighted with shiny scales.","Pan Asian Publications","n.d.",," English: J. Alison James; Vietnamese: Nguyen Ngu","Marcus Pfister",,"K thru 2, 3 thru 5","Vietnamese/English","Fiction",,,"English-Language Arts/General","English-Language Arts/General ",,"Christopher Award"
"37484","Raisel's Riddle","This Jewish holiday-themed version of the Cinderella story features an independent-thinking heroine and places emphasis on wisdom and virtue rather than on outward appearances. Raisel is portrayed as a scholar who prudently uses the wishes granted her. Instead of passing the traditional glass slipper test, she turns the tables and challenges the ""prince"" (rabbi's son) with a riddle! Large page-and-a-half illustrations vary in points-of-view, supporting this book's nontraditional telling of a familiar fairy tale. California author.","Farrar, Straus & Giroux","1998",,,"Erica Silverman","Susan  Gaber","3 thru 5","English","Folklore","Picture Book","Jewish/Jewish American, Multicultural","English-Language Arts/General","English-Language Arts/Literary Elements",,
"36771","Ramona and Her Father","Ramona is now in second grade, and life at home changes when her father loses his job. She begins to see the important role that she plays in her family. California author.","William Morrow and Company","1977",,,"Beverly Cleary","Alan  Tiegreen","3 thru 5","English","Humor, Realistic Fiction","Classic, Read Aloud",,"English-Language Arts/General","English-Language Arts/General ",,"Newbery Honor"
"38789","Ramona la chinche (Ramona the Pest)","Ramona Quimby is off to kindergarten and her world changes forever. Although she has endearing charms, Ramona still manages to get in trouble - she pulls Susan's curls, misunderstands her teacher's directions, and complains about the hand-me-down boots she must wear. This tale is one of a series about Ramona, all of which are timeless stories to read aloud. California author.","William Morrow and Company","1996",,"Argentina  Palacios","Beverly Cleary","Louis  Darling","3 thru 5","Spanish","Fiction, Humor","Classic, Read Aloud",,"English-Language Arts/General","English-Language Arts/General ",,
"38283","Ramona the Pest","Ramona Quimby is off to kindergarten and her world changes forever. Although she has endearing charms, Ramona still manages to get in trouble - she pulls Susan's curls, misunderstands her teacher's directions, and complains about the hand-me-down boots she must wear. This tale is one of a series about Ramona, all of which are timeless stories to read aloud. California author.","William Morrow and Company","1968",,,"Beverly Cleary","Louis  Darling","3 thru 5","English","Fiction, Humor","Classic, Read Aloud",,"English-Language Arts/General","English-Language Arts/General ",,
"36772","Ramona's World","Ramona is now in fourth grade, has a baby sister, meets her new best friend, and wishes that ""Yard Ape"" would take more notice of her. She learns that growing up can present some interesting challenges. California author.","William Morrow and Company","1999",,,"Beverly Cleary","Alan  Tiegreen","3 thru 5","English","Humor, Realistic Fiction","Read Aloud",,"English-Language Arts/General","English-Language Arts/General ",,
"15055","Random House Book of Poetry for Children: A Treasury of 572 Poems for Today's Child, The","This collection, selected by poet and anthologist Jack Prelutsky, is divided into broad subject areas such as nature, seasons, living things, children, and home. The poems convey both humorous and serious information and are representative of a wide variety of contemporary and classic poets.","Random House","1983",,,"Jack Prelutsky (selector)","Arnold Lobel","K thru 2, 3 thru 5, 6 thru 8","English","Poetry","Picture Book, Read Aloud",,"Life Science (Biology)","History/Social Science, Visual and Performing Arts, English-Language Arts/Literary Elements, English-Language Arts/Vocabulary, Science","LS 3.3, LS 6.5",
